datetime,symbol,open,high,low,close,volume
2021-09-22 23:00:00,TRADENATION:SOLANA,148.013,152.31,143.083,149.87,7400000.0
2021-09-23 23:00:00,TRADENATION:SOLANA,149.945,151.009,128.404,139.268,9670000.0
2021-09-26 23:00:00,TRADENATION:SOLANA,135.724,148.787,133.766,136.374,6920000.0
2021-09-27 23:00:00,TRADENATION:SOLANA,136.372,139.386,128.21,132.104,5250000.0
2021-09-28 23:00:00,TRADENATION:SOLANA,132.222,140.002,131.232,135.283,5310000.0
2021-09-29 23:00:00,TRADENATION:SOLANA,135.294,142.798,134.131,141.36,4830000.0
2021-09-30 23:00:00,TRADENATION:SOLANA,141.366,164.871,138.352,161.623,8960000.0
2021-10-03 23:00:00,TRADENATION:SOLANA,173.021,173.021,162.503,167.116,5750000.0
2021-10-04 23:00:00,TRADENATION:SOLANA,167.121,170.109,160.188,164.619,4880000.0
2021-10-05 23:00:00,TRADENATION:SOLANA,164.617,165.357,150.266,153.895,6640000.0
